Name,Symbol,Density,number of atoms per volume unit,Atomic number,Description/Mohs' hardness,Color,Notes
Hydrogen,H,0.000089880,0.054,1,gas,,diatomic
Helium,He,0.0001785,0.027,2,noble gas,,lowest boiling and melting points of any element
Neon,Ne,0.0008999,0.027,10,noble gas,,
Nitrogen,N,0.0012506,0.054,7,gas,,diatomic
Oxygen,O,0.001429,0.054,8,gas,,diatomic
Fluorine,F,0.001696,0.054,9,halogen gas,yellow-green or yellowish brown,
Argon,Ar,0.0017837,0.027,18,noble gas,,
Chlorine,Cl,0.003214,0.055,17,halogen gas,yellowish green or greenish yellow,
Krypton,Kr,0.003733,0.027,36,noble gas,,forms compounds with fluorine and clathrates with water
Xenon,Xe,0.005887,0.027,54,noble gas,,"Forms compounds with chlorine and fluorine, and a few others."
Radon,Rn,0.00973,0.027,86,noble gas,,"radioactive, comes from radium"
Lithium,Li,0.534,46.331,3,0.6,silvery white/gray,used in batteries
Potassium,K,0.862,13.277,19,0.4,silvery white,"forms many compounds, essential nutrient in plants and animals"
Sodium,Na,0.971,25.435,11,0.5,"waxy, silvery white","burns with a yellow flame, reacts violently with water, and oxidizes in air necessitating storage in an inert environment"
Rubidium,Rb,1.532,10.795,37,0.3,silvery-white,"low melting point, reacts violently with water like sodium"
Calcium,Ca,1.54,23.140,20,1.75,gray,"reacts slowly with water, tarnishes quickly in air"
Magnesium,Mg,1.738,43.063,12,2.5,silvery metallic,"brittle, flammable, used in lightweight alloys, burns with a bright flame"
Phosphorus,P,1.82,35.386,15,nonmetal,waxy white/ red/ black/ colorless,"Due to its high reactivity, it is never found as a free element in nature. Phosphorus compounds are essential to living things"
Beryllium,Be,1.85,123.621,4,5.5,gray metallic,"brittle, toxic, used in lightweight alloys, e.g. spacecraft and missiles."
Francium,Fr,1.87,5.050,87,radioactive alkali metal,,"alkali metal isotope found in uranium and thorium ores, reacts explosively with air and water."
Caesium,Cs,1.873,8.487,55,0.2,silvery gold,"liquid at or near room temperature, very reactive, reacts explosively with water."
Sulfur,S,2.067,38.820,16,2.0,lemon yellow,
Carbon,C,3.513,113.667,6,10.0 (diamond),colorless,
Carbon,C,2.267,49.952,6,1-2 (graphite),black,
Silicon,Si,2.3296,130.347,14,6.5 metalloid,"dark gray, bluish tinge",Used in semiconductors and electronics.
Boron,B,2.34,18.144,5,9.3,"black/brown/ amorphous boron is a brown powder, metallic boron is black",The metallic form is hard (9.3 on Mohs' scale) and a poor conductor at room temperature.
Strontium,Sr,2.64,60.218,38,1.5,a soft silver-white or yellowish metallic element,The metal turns yellow when exposed to air. somewhat malleable. It is chiefly employed (as in the nitrate) to color pyrotechnic flames red.
Aluminium,Al,2.698,40.040,13,2.75,silvery,"non-magnetic, very reflective, lightweight, common building material."
Scandium,Sc,2.989,23.530,21,transition metal,"soft, silvery, develops a slightly yellowish or pinkish cast when exposed to air",not attacked by a 1:1 mixture of nitric acid(HNO3) and 48% HF
Bromine,Br,3.122,176.141,35,halogen,gas/liquid: red-brown solid: metallic luster,a red volatile liquid at standard room temperature. This element is corrosive to human tissue
Barium,Ba,3.594,15.761,56,1.25,metallic,"Naturally occurring barium is a mix of seven stable isotopes. There are twenty-two isotopes known, but most of these are highly radioactive and have half-lives in the several millisecond to several minute range. The only notable exceptions are 133Ba which has a half-life of 10.51 years, and 137mBa (2.6 minutes)."
Yttrium,Y,4.469,30.271,39,transition metal,silvery metallic,two of its compounds are used to make the red color phosphors in cathode ray tube displays
Titanium,Ti,4.540,57.118,22,6.0,silvery metallic,"corrosion-resistant (including resistance to sea water and chlorine, high tensile strength"
Selenium,Se,4.809,36.677,34,2.0,"gray, metallic luster","Selenium has at least 29 isotopes, of which 5 are stable, and 6 are nuclear isomers."
Iodine,I,4.93,23.395,53,halogen solid that sublimes at standard temperatures into a purple-pink gas that has an irritating odor,"violet-dark gray, lustrous","least reactive of the halogens, still a strong oxidizing agent."
Europium,Eu,5.243,20.777,63,lanthanide,,
Germanium,Ge,5.323,44.130,32,6.0,,Used in semiconductors and LED's
